stream,next_stream,drainage_area_km2,length_km,area_sqkm,centroid_lon,centroid_lat,hu,i2,i3,sw,ss,n,slope,res_ss,res_gw,melt,t_thres
420545827,420547029,0.243,0.792,0.243,-74.7353491,40.36138513513513,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545990,420547029,0.414,0.535,0.171,-74.73990385,40.36173076923076,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544966,420546220,0.243,0.421,0.243,-74.73066441,40.36449324324324,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545826,420545990,0.046,0.117,0.046,-74.74017857,40.36422619,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544965,420545990,0.197,0.513,0.197,-74.73538889,40.36569444444445,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544365,420545605,0.6960000000000001,1.008,0.466,-74.74433685,40.36736502347416,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544537,420544365,0.105,0.329,0.105,-74.73713542,40.36770833333334,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544169,420544365,0.125,0.443,0.125,-74.73910088,40.36927631578948,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548718,420548069,0.413,0.934,0.413,-74.67093254,40.35192460317461,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420548717,420548069,0.204,0.443,0.204,-74.67358871,40.34942204301076,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547651,420547036,0.459,1.093,0.459,-74.66489286,40.353023809523805,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547443,420547036,0.158,0.513,0.158,-74.67,40.35510416666666,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545996,420545385,0.354,0.863,0.354,-74.65626543,40.35930555555556,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420547036,420546630,0.781,0.35,0.164,-74.66488333,40.35788333333336,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546630,420546629,3.0780000000000003,0.658,0.21,-74.67143229,40.35929688,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546631,420546222,0.105,0.326,0.105,-74.66161458,40.35927083333334,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546632,420545995,0.079,0.304,0.079,-74.65875,40.35999999999999,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546221,420546629,0.7549999999999999,0.234,0.033,-74.67358333,40.36175,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545994,420546630,2.087,0.562,0.236,-74.66599537,40.36182870370371,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545607,420546629,2.8420000000000005,0.395,0.105,-74.67619792,40.36291666666667,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544968,420546221,0.164,0.142,0.164,-74.66931667,40.36405,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545995,420546222,0.965,0.142,0.046,-74.66136905,40.36184523809523,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420546222,420545994,1.09,0.117,0.02,-74.66236111,40.36208333333333,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545385,420545995,0.8400000000000001,0.421,0.158,-74.65927083,40.36381944444444,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420545384,420546221,0.5579999999999999,0.489,0.118,-74.67287037,40.36439814814813,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544969,420545994,0.761,0.535,0.19,-74.66386494,40.36584770114943,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420543777,420545385,0.328,0.861,0.328,-74.65808333,40.36835000000001,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544742,420545384,0.092,0.302,0.092,-74.67244048,40.36749999999999,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420543351,420545384,0.348,1.164,0.348,-74.67049528,40.37084119496856,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
420544171,420545165,0.118,0.35,0.118,-74.67356481,40.36944444444445,178,4,1.6,0.11,0.33,0.1,0.02,2,55,3.7,0
